-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     209.888ms       146.49%     209.888ms       2.799ms            75  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us      42.431ms        29.61%      42.431ms     407.995us           104  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      37.455ms        26.14%      37.455ms     325.700us           115  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us      21.119ms        14.74%      21.119ms       1.408ms            15  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      16.530ms        11.54%      16.530ms     635.779us            26  
                                               aten::mm         0.37%       2.036ms         0.47%       2.545ms      97.876us      11.706ms         8.17%      12.600ms     484.621us            26  
                                     record_param_comms         0.46%       2.519ms         0.58%       3.159ms     121.513us       6.612ms         4.61%       6.612ms     254.305us            26  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       6.612ms         4.61%       6.612ms     254.305us            26  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       6.612ms         4.61%       6.612ms     254.305us            26  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       5.630ms         3.93%       5.630ms     216.521us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.435ms         3.79%       5.435ms     452.942us            12  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.816ms         3.36%       4.816ms     185.229us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.607ms         2.52%       3.607ms     450.893us             8  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       2.006ms         1.40%       2.006ms      21.801us            92  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       1.964ms         1.37%       1.964ms      18.883us           104  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       1.960ms         1.37%       1.960ms      37.698us            52  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       1.721ms         1.20%       1.721ms     172.141us            10  
