-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     145.533ms       146.37%     145.533ms       1.565ms            93  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      26.494ms        26.65%      26.494ms     456.792us            58  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      22.350ms        22.48%      22.350ms     154.140us           145  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us      14.324ms        14.41%      14.324ms     954.936us            15  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      13.502ms        13.58%      13.502ms     421.937us            32  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us      11.185ms        11.25%      11.185ms     349.525us            32  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       8.612ms         8.66%       8.612ms     538.255us            16  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       8.603ms         8.65%       8.603ms     268.840us            32  
                                     record_param_comms         0.27%       3.914ms         0.33%       4.848ms     151.490us       7.290ms         7.33%       7.290ms     227.823us            32  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       7.290ms         7.33%       7.290ms     227.823us            32  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       7.290ms         7.33%       7.290ms     227.823us            32  
                                               aten::mm         0.18%       2.558ms         0.23%       3.277ms     102.401us       7.250ms         7.29%       7.477ms     233.657us            32  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.816ms         5.85%       5.816ms     181.746us            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.526ms         4.55%       4.526ms     226.279us            20  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       3.129ms         3.15%       3.129ms      97.780us            32  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.054ms         2.07%       2.054ms      16.047us           128  
              vllm:v2/target/decode/prepare_attn_tables         0.00%       0.000us         0.00%       0.000us       0.000us       1.770ms         1.78%       1.770ms      55.302us            32  
