-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     165.585ms       139.41%     165.585ms       1.780ms            93  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      53.700ms        45.21%      53.700ms     370.347us           145  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      26.501ms        22.31%      26.501ms     456.914us            58  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      14.434ms        12.15%      14.434ms     451.061us            32  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       9.697ms         8.16%       9.697ms     303.030us            32  
                                               aten::mm         0.27%       3.032ms         0.34%       3.836ms     119.865us       7.250ms         6.10%       7.478ms     233.703us            32  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       7.177ms         6.04%       7.177ms     448.538us            16  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.436ms         5.42%       6.436ms     201.129us            32  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       5.847ms         4.92%       5.847ms     182.711us            32  
                                     record_param_comms         0.33%       3.660ms         0.40%       4.477ms     139.891us       5.536ms         4.66%       5.536ms     173.003us            32  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       5.536ms         4.66%       5.536ms     173.003us            32  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       5.536ms         4.66%       5.536ms     173.003us            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.520ms         3.81%       4.520ms     226.013us            20  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.190ms         2.69%       3.190ms     212.642us            15  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.071ms         1.74%       2.071ms      16.182us           128  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       1.618ms         1.36%       1.618ms      50.575us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.337ms         1.13%       1.337ms      11.524us           116  
