-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     201.543ms       126.70%     201.543ms       2.167ms            93  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      81.243ms        51.07%      81.243ms     560.299us           145  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      26.531ms        16.68%      26.531ms     457.426us            58  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      13.446ms         8.45%      13.446ms     420.193us            32  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us      12.994ms         8.17%      12.994ms     866.247us            15  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       8.031ms         5.05%       8.031ms     250.962us            32  
                                     record_param_comms         0.43%       2.791ms         0.55%       3.567ms     111.479us       7.401ms         4.65%       7.401ms     231.283us            32  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       7.401ms         4.65%       7.401ms     231.283us            32  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       7.401ms         4.65%       7.401ms     231.283us            32  
                                               aten::mm         0.41%       2.661ms         0.49%       3.173ms      99.154us       7.258ms         4.56%       7.488ms     234.013us            32  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.069ms         4.44%       7.069ms     220.913us            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.526ms         2.85%       4.526ms     226.304us            20  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.077ms         1.31%       2.077ms      16.223us           128  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       2.014ms         1.27%       2.014ms     125.857us            16  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       1.533ms         0.96%       1.533ms      47.899us            32  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.331ms         0.84%       1.331ms      11.476us           116  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       1.210ms         0.76%       1.210ms      18.914us            64  
