-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     172.742ms       197.17%     172.742ms       2.107ms            82  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      45.083ms        51.46%      45.083ms     866.974us            52  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      17.947ms        20.48%      17.947ms     640.963us            28  
                                               aten::mm         0.15%       2.324ms         0.21%       3.236ms     115.563us      12.605ms        14.39%      13.495ms     481.976us            28  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       9.570ms        10.92%       9.570ms     797.514us            12  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       9.194ms        10.49%       9.194ms     328.351us            28  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       7.511ms         8.57%       7.511ms     268.254us            28  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.434ms         6.20%       5.434ms     452.830us            12  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.820ms         5.50%       4.820ms     172.154us            28  
                                     record_param_comms         0.21%       3.229ms         0.27%       4.054ms     144.782us       4.360ms         4.98%       4.360ms     155.723us            28  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       4.360ms         4.98%       4.360ms     155.723us            28  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       4.360ms         4.98%       4.360ms     155.723us            28  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.611ms         4.12%       3.611ms     451.364us             8  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.869ms         3.27%       2.869ms      22.071us           130  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us       2.744ms         3.13%       2.744ms      98.008us            28  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.008ms         2.29%       2.008ms      17.929us           112  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       1.949ms         2.23%       1.949ms      34.812us            56  
