-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                vllm:v2/target/decode/full_graph_replay         0.00%       0.000us         0.00%       0.000us       0.000us     217.776ms       158.52%     217.776ms       2.656ms            82  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      48.662ms        35.42%      48.662ms     374.320us           130  
kernel_cutlass_kernel_b12xmoefusedsiluMoEDynamicKern...         0.00%       0.000us         0.00%       0.000us       0.000us      45.148ms        32.86%      45.148ms     868.224us            52  
                           vllm:v2/target/decode/logits         0.00%       0.000us         0.00%       0.000us       0.000us      17.434ms        12.69%      17.434ms     622.644us            28  
                                               aten::mm         0.43%       2.424ms         0.54%       3.060ms     109.274us      12.607ms         9.18%      13.498ms     482.058us            28  
                           vllm:v2/target/decode/sample         0.00%       0.000us         0.00%       0.000us       0.000us       6.800ms         4.95%       6.800ms     242.840us            28  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       5.437ms         3.96%       5.437ms     453.098us            12  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.355ms         3.90%       5.355ms     191.259us            28  
                                     record_param_comms         0.48%       2.712ms         0.60%       3.374ms     120.500us       4.947ms         3.60%       4.947ms     176.673us            28  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       4.947ms         3.60%       4.947ms     176.673us            28  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us       4.947ms         3.60%       4.947ms     176.673us            28  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       3.608ms         2.63%       3.608ms     451.048us             8  
                            vllm:v2/target/update_batch         0.00%       0.000us         0.00%       0.000us       0.000us       2.381ms         1.73%       2.381ms     198.417us            12  
void pcie_allreduce::pcie_allreduce_kernel<__nv_bflo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.293ms         1.67%       2.293ms     229.346us            10  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       2.081ms         1.52%       2.081ms      74.337us            28  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       2.027ms         1.48%       2.027ms      18.095us           112  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us       1.975ms         1.44%       1.975ms      35.269us            56  
